worldwide_gross,production_budget,title_year,aspect_ratio,duration,cast_total_facebook_likes,imdb_score,movie_title
2783918982.0,425000000.0,2009,1.78,178.0,4834.0,7.9,Avatar 
2058662225.0,306000000.0,2002,2.126682901820047,108.55270303628734,143.0,7.1,Star Wars: Episode VII - The Force Awakens             
963420425.0,300000000.0,2007,2.35,169.0,48350.0,7.1,Pirates of the Caribbean: At World's End 
879620923.0,300000000.0,2015,2.35,148.0,11700.0,6.8,Spectre 
1084439099.0,275000000.0,2012,2.35,164.0,106759.0,8.5,The Dark Knight Rises 
260002115.0,275000000.0,2013,2.35,150.0,45757.0,6.5,The Lone Ranger 
282778100.0,275000000.0,2012,2.35,132.0,1873.0,6.6,John Carter 
586581936.0,260000000.0,2010,1.85,100.0,2036.0,7.8,Tangled 
890875303.0,258000000.0,2007,2.35,156.0,46055.0,6.2,Spider-Man 3 
1404705868.0,250000000.0,2015,2.35,141.0,92000.0,7.5,Avengers: Age of Ultron 
1150864745.0,250000000.0,2016,2.35,147.0,64798.0,8.2,Captain America: Civil War 
868160194.0,250000000.0,2016,2.35,183.0,24450.0,6.9,Batman v Superman: Dawn of Justice 
1017003568.0,250000000.0,2012,2.35,182.0,9152.0,7.9,The Hobbit: An Unexpected Journey 
935083686.0,250000000.0,2009,2.35,153.0,58753.0,7.5,Harry Potter and the Half-Blood Prince 
960366855.0,250000000.0,2013,2.35,186.0,9152.0,7.9,The Hobbit: The Desolation of Smaug 
955119788.0,250000000.0,2014,2.35,164.0,9152.0,7.5,The Hobbit: The Battle of the Five Armies 
1045663875.0,250000000.0,2011,2.35,136.0,54083.0,6.7,Pirates of the Caribbean: On Stranger Tides 
374085065.0,232000000.0,2006,2.35,169.0,29991.0,6.1,Superman Returns 
591692078.0,230000000.0,2008,2.35,106.0,2023.0,6.7,Quantum of Solace 
1066215812.0,225000000.0,2006,2.35,151.0,48486.0,7.3,Pirates of the Caribbean: Dead Man's Chest 
667999518.0,225000000.0,2013,2.35,143.0,20495.0,7.2,Man of Steel 
417341288.0,225000000.0,2008,2.35,150.0,22697.0,6.6,The Chronicles of Narnia: Prince Caspian 
757890267.0,220000000.0,2012,2.35,153.0,28489.0,7.0,The Amazing Spider-Man 
1670328025.0,215000000.0,2015,2.0,124.0,8458.0,7.0,Jurassic World 
836519699.0,210000000.0,2009,2.35,150.0,3218.0,6.0,Transformers: Revenge of the Fallen 
1104039076.0,210000000.0,2014,2.35,165.0,3988.0,5.7,Transformers: Age of Extinction 
459359555.0,210000000.0,2006,2.35,104.0,21714.0,6.8,X-Men: The Last Stand 
322241588.0,210000000.0,2010,2.35,156.0,3244.0,6.7,Robin Hood 
305218228.0,209000000.0,2012,2.35,131.0,26679.0,5.9,Battleship 
2207615668.0,200000000.0,1997,2.35,194.0,45223.0,7.7,Titanic 
1069818229.0,200000000.0,2010,1.85,103.0,19085.0,8.3,Toy Story 3 
1215392272.0,200000000.0,2013,2.35,195.0,30426.0,7.2,Iron Man 3 
783705001.0,200000000.0,2004,2.35,135.0,43388.0,7.3,Spider-Man 2 
1110526981.0,200000000.0,2012,2.35,143.0,2039.0,7.8,Skyfall 
743588329.0,200000000.0,2013,1.85,104.0,14863.0,7.3,Monsters University 
490359051.0,200000000.0,2013,2.35,130.0,73441.0,6.4,Oz the Great and Powerful 
747862775.0,200000000.0,2014,2.35,149.0,91434.0,8.0,X-Men: Days of Future Past 
708996336.0,200000000.0,2014,2.35,142.0,28631.0,6.7,The Amazing Spider-Man 2 
560155383.0,200000000.0,2011,2.35,106.0,4482.0,6.3,Cars 2 
397562763.0,200000000.0,2010,2.35,125.0,25550.0,6.8,TRON: Legacy 
788408539.0,200000000.0,2009,2.35,158.0,2144.0,5.8,2012 
365491792.0,200000000.0,2009,2.35,118.0,27468.0,6.6,Terminator Salvation 
231201172.0,200000000.0,2011,2.35,123.0,17657.0,5.6,Green Lantern 
314594597.0,200000000.0,2010,2.35,116.0,16149.0,6.6,Prince of Persia: The Sands of Time 
1123790543.0,195000000.0,2011,2.35,154.0,2593.0,6.3,Transformers: Dark of the Moon 
197687603.0,195000000.0,2013,2.35,114.0,1766.0,6.3,Jack the Giant Slayer 
1514019071.0,190000000.0,2015,2.35,140.0,79150.0,7.2,Furious 7 
467381584.0,190000000.0,2013,2.35,132.0,21411.0,7.8,Star Trek Into Darkness 
531514650.0,190000000.0,2013,2.35,123.0,32392.0,7.0,World War Z 
315709697.0,190000000.0,2009,2.35,96.0,48878.0,6.8,A Christmas Carol 
411002906.0,190000000.0,2013,1.85,131.0,19166.0,7.0,Pacific Rim 
334354269.0,187500000.0,2015,2.35,93.0,696.0,6.8,The Good Dinosaur 
582443126.0,186000000.0,2008,2.35,126.0,39252.0,7.9,Iron Man 
1002891358.0,185000000.0,2008,2.35,152.0,57802.0,9.0,The Dark Knight 
786558145.0,185000000.0,2008,2.35,122.0,14959.0,6.2,Indiana Jones and the Kingdom of the Crystal Skull 
554606532.0,185000000.0,2012,2.35,93.0,5005.0,7.2,Brave 
196968626.0,185000000.0,2016,2.35,122.0,1327.0,7.5,Star Trek Beyond 
720539572.0,180000000.0,2005,2.35,150.0,1317.0,6.9,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe "
758536735.0,180000000.0,2014,2.35,97.0,15516.0,7.0,Maleficent 
532590994.0,180000000.0,2008,2.35,98.0,2975.0,8.4,WALL·E 
180047784.0,180000000.0,2011,1.85,126.0,36017.0,7.5,Hugo 
181982519.0,179000000.0,2015,2.35,127.0,47334.0,5.4,Jupiter Ascending 
530842489.0,178000000.0,2016,2.35,144.0,49684.0,7.3,X-Men: Apocalypse 
364406256.0,178000000.0,2014,2.35,113.0,12652.0,7.9,Edge of Tomorrow 
853923085.0,175000000.0,2015,1.85,95.0,2944.0,8.3,Inside Out 
731542621.0,175000000.0,2009,1.85,96.0,2635.0,8.3,Up 
381687380.0,175000000.0,2009,2.35,94.0,2579.0,6.5,Monsters vs. Aliens 
294387183.0,175000000.0,2016,2.35,123.0,11287.0,6.9,Suicide Squad 
302469017.0,175000000.0,2009,2.35,118.0,26683.0,5.8,G.I. Joe: The Rise of Cobra 
221229335.0,175000000.0,1999,1.85,106.0,15870.0,4.8,Wild Wild West 
405760225.0,175000000.0,2008,2.35,112.0,9131.0,5.2,The Mummy: Tomb of the Dragon Emperor 
174131329.0,175000000.0,2007,2.35,96.0,108016.0,5.4,Evan Almighty 
264246220.0,175000000.0,1995,1.85,176.0,1004.0,6.1,Waterworld 
151659062.0,175000000.0,2013,2.35,128.0,20965.0,6.3,47 Ronin 
771172112.0,170000000.0,2014,2.35,121.0,32438.0,8.1,Guardians of the Galaxy 
623561331.0,170000000.0,2010,2.35,124.0,48638.0,7.0,Iron Man 2 
714401889.0,170000000.0,2014,2.35,136.0,36188.0,7.8,Captain America: The Winter Soldier 
703545589.0,170000000.0,2014,1.85,130.0,14363.0,7.6,Dawn of the Planet of the Apes 
319090241.0,170000000.0,2004,2.35,100.0,16264.0,6.6,The Polar Express 
401016924.0,170000000.0,2012,2.35,132.0,72881.0,6.1,Snow White and the Huntsman 
433058296.0,170000000.0,2003,2.35,109.0,1769.0,6.4,Terminator 3: Rise of the Machines 
277279693.0,170000000.0,2016,1.85,113.0,80806.0,6.4,Alice Through the Looking Glass 
756244673.0,165000000.0,2010,2.35,93.0,4628.0,6.4,Shrek Forever After 
652127828.0,165000000.0,2014,2.39,102.0,2963.0,7.9,Big Hero 6 
494870991.0,165000000.0,2010,2.35,98.0,20453.0,8.2,How to Train Your Dragon 
496511521.0,165000000.0,2012,2.35,101.0,4451.0,7.8,Wreck-It Ralph 
665417894.0,165000000.0,2014,2.35,169.0,31488.0,8.6,Interstellar 
379262220.0,165000000.0,2016,2.35,120.0,3233.0,5.5,Independence Day: Resurgence 
807330936.0,160000000.0,2007,1.85,93.0,4705.0,6.1,Shrek the Third 
650523427.0,160000000.0,2015,2.35,137.0,81385.0,6.6,The Hunger Games: Mockingjay - Part 2 
355408305.0,160000000.0,2011,2.35,132.0,50983.0,7.8,X-Men: First Class 
329809326.0,160000000.0,2008,2.35,166.0,13333.0,7.8,The Curious Case of Benjamin Button 
217986320.0,160000000.0,2010,2.35,109.0,13388.0,6.1,The Sorcerer's Apprentice 
181674817.0,160000000.0,2006,2.35,98.0,92456.0,5.6,Poseidon 
433125655.0,160000000.0,2016,2.35,123.0,5505.0,7.3,Warcraft 
418186950.0,155000000.0,2010,1.78,113.0,764.0,6.3,The Chronicles of Narnia: The Voyage of the Dawn Treader 
440160956.0,155000000.0,2015,2.35,126.0,38873.0,6.6,Terminator Genisys 
167297191.0,155000000.0,2004,2.35,206.0,24598.0,5.5,Alexander 
449239855.0,151500000.0,2001,2.35,184.0,5401.0,6.1,Pearl Harbor 
1274234980.0,150000000.0,2013,2.24,102.0,2582.0,7.6,Frozen 
942943935.0,150000000.0,2007,2.35,138.0,33433.0,7.5,Harry Potter and the Order of the Phoenix 
896911078.0,150000000.0,2005,2.35,157.0,53413.0,7.6,Harry Potter and the Goblet of Fire 
738576929.0,150000000.0,2003,2.35,138.0,534.0,7.2,The Matrix Reloaded 
